name,description,type
Тариф,"Вопросы по условиям именно банковских тарифов на обслуживание рассчетных счетов: 
    лимиты и комиссии, стоимость, смена тарифа, согласование индивидуальных условий по тарифу. 
    Сюда не входят вопросы по тарифам на различные продукты, например, онлайн бухгалтерия или оценка комплаенс рисков.",POSITIVE-ABSTAIN
Сервисы банка,В тексте есть упоминания различных банковских сервисов.,NEGATIVE-ABSTAIN
Остальное,В тексте диалога нет упоминаний тарифа или условий тарифа,NEGATIVE-ABSTAIN
Ошибки и сбои в списаниях,"Диалоги, в которых клиенты фиксируют системные сбои при списании абонентской платы или комиссий (например, списание не в тот день, неверная сумма) и требуют проверки и корректировки.",NEGATIVE-ABSTAIN
Вопросы по эквайрингу,"Диалоги, в которых клиенты интересуются условиями подключения, тарифами и техническими аспектами торгового и интернет-эквайринга, включая комиссии и сроки зачислений.",NEGATIVE-ABSTAIN
Закрытие и заморозка счетов,"Диалоги, в которых клиенты запрашивают временную заморозку или окончательное закрытие расчётного счёта, уточняют последствия для карт и сервисов и требуемые документы.",NEGATIVE-ABSTAIN
Тарифы на эквайринг,"Диалоги, в которых клиенты интересуются тарифами на эквайринг (торговый и интернет), ставками и условиями, не связанными с базовыми тарифами расчётного счёта.",NEGATIVE-ABSTAIN
Тарифы на маркетплейсы,"Диалоги, в которых клиенты-селлеры маркетплейсов (Wildberries, Ozon и др.) интересуются специализированными тарифами, ставками и условиями обслуживания для торговли на маркетплейсах.",NEGATIVE-ABSTAIN
Проблемы с подключением услуг,"Диалоги, в которых клиенты сталкиваются с трудностями при подключении дополнительных услуг (онлайн-бухгалтерия, эквайринг, подписка и др.) и обсуждают причины и способы решения проблем.",NEGATIVE-ABSTAIN
Ошибки и некорректные списания,"Диалоги, в которых клиенты сообщают о некорректных или двойных списаниях средств, ошибках в начислении комиссий или неправильном применении тарифов и просят разобраться и вернуть деньги.",NEGATIVE-ABSTAIN
Условия тарифов для переводов,"Диалоги, в которых обсуждаются конкретные условия тарифов, влияющие на переводы (способы, лимиты, комиссии), без затрагивания остальных параметров обслуживания счёта.",POSITIVE-ABSTAIN
Изменение условий тарифа,"Диалоги, в которых клиенты интересуются возможностью изменить отдельные условия действующего тарифа (например, лимиты, комиссии, периоды оплаты) без перехода на другой тарифный план.",POSITIVE-ABSTAIN
Изменение и выбор тарифов,"Диалоги, в которых клиенты рассматривают варианты тарифных планов, сравнивают условия, стоимость и выгоду разных тарифов и уточняют порядок или сроки перехода на новый тариф.",POSITIVE-ABSTAIN
Тарифы на онлайн-бухгалтерию,"Диалоги, в которых обсуждаются тарифы на онлайн-бухгалтерию, включая вопросы подключения, изменения или отключения сервисов бухгалтерского сопровождения.",NEGATIVE-ABSTAIN
Закрытие счета и возврат средств,"Диалоги, в которых клиенты обсуждают процедуру закрытия счёта, сроки и порядок возврата оставшихся средств и перерасчёта предоплаченных комиссий.",NEGATIVE-ABSTAIN
Ошибки в подключении акций и подписок,"Диалоги, в которых клиенты интересуются, почему были списаны средства за подписки или акции, которые они считали отключенными или бесплатными.",POSITIVE-ABSTAIN
Комиссии и уведомления,"Диалоги, в которых клиенты интересуются комиссиями и уведомлениями от банка, а также условиями обслуживания и скидками.",POSITIVE-ABSTAIN
Ошибки в списаниях за пакеты переводов,"Диалоги, в которых клиенты сообщают о некорректных списаниях за подключение пакетов переводов физическим лицам и обсуждают причины и решения таких ошибок.",POSITIVE-ABSTAIN
Изменение тарифа из-за акций,"Диалоги, в которых клиенты интересуются изменением тарифа из-за акций, возможностью перехода на более дешевый тариф и условиями возврата на предыдущий тариф.",POSITIVE-ABSTAIN
Реферальные программы,"Диалоги, в которых клиенты интересуются реферальными программами, условиями получения реферальных ссылок и бонусами за рекомендации.",POSITIVE-ABSTAIN
Подключение и изменение подписок,"Диалоги, в которых клиенты интересуются подключением или изменением условий подписок, например, на увеличение лимитов переводов физлицам.",POSITIVE-ABSTAIN
Сравнение тарифов и подключение услуг,"Диалоги, в которых клиенты интересуются различиями между тарифами и возможностью подключения дополнительных услуг, таких как сдача отчетов от маркетплейсов.",POSITIVE-ABSTAIN
Акции и скидки на обслуживание,"Диалоги, в которых клиенты интересуются акциями и скидками на обслуживание, включая условия их получения и использования.",POSITIVE-ABSTAIN
Подписки и их условия,"Диалоги, в которых клиенты интересуются условиями подписок, возможностью их отключения и влиянием на тарифы и комиссии.",POSITIVE-ABSTAIN
